iter	Passed	Remaining
0	189	189655
1	190	95197
2	191	63640
3	192	47850
4	192	38372
5	193	32053
6	194	27546
7	194	24160
8	195	21539
9	196	19431
10	196	17709
11	197	16273
12	198	15063
13	199	14023
14	199	13120
15	200	12333
16	201	11639
17	202	11022
18	202	10466
19	203	9965
20	204	9513
21	204	9103
22	205	8727
23	206	8380
24	206	8061
25	207	7765
26	207	7491
27	208	7242
28	209	7008
29	210	6792
30	210	6588
31	211	6398
32	212	6223
33	213	6053
34	213	5892
35	214	5739
36	215	5596
37	215	5460
38	216	5332
39	217	5211
40	217	5096
41	218	4986
42	219	4884
43	220	4782
44	220	4685
45	221	4592
46	222	4505
47	222	4419
48	223	4337
49	224	4258
50	224	4185
51	225	4115
52	226	4046
53	227	3980
54	227	3916
55	228	3853
56	229	3793
57	229	3734
58	230	3677
59	231	3622
60	232	3571
61	232	3522
62	233	3473
63	234	3424
64	234	3379
65	235	3333
66	236	3289
67	236	3245
68	237	3203
69	238	3162
70	238	3122
71	239	3085
72	240	3049
73	240	3013
74	241	2977
75	242	2942
76	242	2908
77	243	2875
78	243	2842
79	244	2811
80	245	2780
81	245	2750
82	246	2718
83	246	2689
84	247	2663
85	248	2637
86	248	2610
87	249	2585
88	250	2559
89	250	2535
90	251	2510
91	252	2487
92	252	2463
93	253	2442
94	254	2420
95	254	2398
96	255	2376
97	255	2355
98	256	2334
99	257	2314
100	257	2294
101	258	2274
102	259	2255
103	259	2236
104	260	2219
105	261	2202
106	261	2184
107	262	2167
108	263	2150
109	263	2133
110	264	2119
111	265	2103
112	265	2087
113	266	2072
114	267	2056
115	268	2043
116	268	2027
117	269	2013
118	270	1999
119	270	1985
120	271	1971
121	271	1957
122	272	1943
123	273	1930
124	273	1917
125	274	1903
126	275	1890
127	275	1878
128	276	1869
129	277	1857
130	278	1845
131	278	1833
132	279	1821
133	280	1810
134	280	1798
135	281	1787
136	281	1776
137	282	1765
138	283	1756
139	284	1746
140	284	1735
141	285	1723
142	285	1713
143	286	1702
144	287	1692
145	287	1682
146	288	1672
147	288	1662
148	289	1653
149	290	1645
150	291	1637
151	291	1627
152	292	1618
153	293	1609
154	293	1601
155	294	1593
156	295	1584
157	295	1576
158	296	1568
159	297	1560
160	297	1550
161	298	1542
162	298	1534
163	299	1526
164	300	1518
165	300	1510
166	301	1502
167	301	1494
168	302	1487
169	303	1479
170	303	1471
171	304	1464
172	304	1457
173	305	1450
174	306	1443
175	306	1436
176	307	1429
177	307	1422
178	308	1415
179	309	1408
180	309	1401
181	310	1395
182	310	1388
183	311	1381
184	312	1375
185	312	1369
186	313	1362
187	314	1356
188	314	1350
189	315	1344
190	315	1338
191	316	1331
192	317	1325
193	317	1320
194	318	1314
195	319	1309
196	319	1303
197	320	1297
198	321	1292
199	321	1287
200	322	1281
201	323	1276
202	323	1271
203	324	1266
204	325	1260
205	325	1255
206	326	1250
207	327	1245
208	327	1240
209	328	1235
210	329	1231
211	329	1226
212	330	1221
213	331	1216
214	331	1211
215	332	1206
216	333	1201
217	333	1197
218	334	1192
219	335	1187
220	335	1183
221	336	1178
222	337	1174
223	337	1169
224	338	1165
225	339	1161
226	339	1157
227	340	1152
228	341	1148
229	341	1144
230	342	1140
231	343	1136
232	343	1132
233	344	1128
234	345	1124
235	346	1120
236	346	1116
237	347	1112
238	348	1108
239	348	1104
240	349	1100
241	350	1096
242	350	1093
243	351	1089
244	352	1085
245	353	1082
246	353	1078
247	354	1074
248	354	1070
249	355	1066
250	356	1062
251	356	1059
252	357	1055
253	358	1051
254	358	1048
255	359	1044
256	361	1043
257	361	1040
258	362	1037
259	363	1033
260	363	1029
261	364	1026
262	365	1023
263	366	1020
264	367	1018
265	367	1015
266	368	1011
267	369	1008
268	369	1004
269	370	1001
270	370	997
271	371	995
272	372	992
273	373	989
274	374	987
275	375	984
276	376	981
277	376	978
278	377	975
279	378	972
280	379	970
281	380	967
282	380	965
283	381	962
284	382	960
285	383	957
286	384	955
287	385	952
288	385	949
289	386	946
290	387	943
291	388	941
292	389	939
293	390	937
294	390	934
295	391	931
296	392	928
297	392	925
298	393	923
299	394	920
300	395	918
301	396	915
302	396	912
303	397	909
304	398	907
305	398	904
306	399	902
307	400	899
308	401	897
309	402	894
310	403	895
311	405	893
312	406	891
313	407	889
314	407	886
315	408	883
316	409	881
317	409	879
318	410	876
319	411	873
320	411	871
321	412	868
322	413	866
323	413	863
324	414	861
325	415	858
326	416	856
327	416	854
328	417	851
329	418	849
330	419	847
331	419	844
332	420	842
333	421	839
334	421	837
335	422	834
336	423	832
337	423	830
338	424	828
339	425	826
340	426	824
341	427	821
342	427	819
343	428	817
344	429	814
345	429	812
346	430	810
347	431	807
348	431	805
349	432	803
350	433	801
351	433	798
352	434	796
353	435	794
354	435	792
355	436	789
356	437	787
357	437	785
358	438	783
359	439	780
360	439	778
361	440	776
362	441	774
363	441	772
364	442	770
365	443	767
366	443	765
367	444	763
368	445	761
369	445	759
370	446	757
371	447	755
372	448	753
373	449	751
374	449	749
375	450	747
376	451	745
377	451	743
378	452	741
